ID,Text,Label 1,Label 2,Label 3
962_Cleand_Climate1.csv,RT @kasserolees: Energy is the #1 contributer to climate change by far. Also ALL agriculture (not just animal ag) contributes to climate ch,Neutral,Neutral,Positive
885_Cleand_Climate1.csv,RT @edelman_barbara: @msnbc why don t you have a climate change scientist on the air?,Neutral,Positive,Neutral
680_Cleand_Climate1.csv,RT @OtagoGrad: @anthonyfurey @OskieOckham The data doesn t matter. We re not basing our recommendations on the data. We re basing them on,Neutral,not-relevant,Positive
1152_Cleand_Climate1.csv,The Dow just recorded its 3rd worst day ever. Think @realDonaldTrump is gonna tweet about it? Or will he continue to selectively highlight (& take credit for) things that he had nothing to do with and ignore really important issues like climate change? Asking for America.,Negative,Neutral,Negative
731_Cleand_Climate1.csv,RT @SimonBanksHB: I am not going to rule out things based on ideology said @ScottMorrisonMP yesterday Yet he leads a party that has con,not-relevant,Neutral,not-relevant
1075_Cleand_Climate1.csv,RT @sydneyleemarco: nothing like an 80 degree october day to make you relieved that climate change is just a hoax invented by the chinese g,Positive,Neutral,Positive
85_Cleand_Climate1.csv,@MerlenesMemos @CNN It's not an act of god. Climate change is man made.,Neutral,Positive,Positive
654_Cleand_Climate1.csv,RT @MikeLevinCA: When asked about climate change my GOP opponent @diane_harkey repeatedly says I am not a scientist. Someone running f,Neutral,Negative,Neutral
916_Cleand_Climate1.csv,RT @gq_jayq: Bet I got 11 years to run it up https://t.co/EvF2pHphsb,Positive,not-relevant,Positive
372_Cleand_Climate1.csv,No they care about the oil billionaires,Positive,Negative,not-relevant
839_Cleand_Climate1.csv,RT @cathmckenna: The best that science has to offer is telling us that we should act with urgency on climate change. The best that economi,Positive,Negative,Negative
1106_Cleand_Climate1.csv,RT @tumblindice1979: @elizabethforma @algore I love you Senator Warren but the hell with climate change let's focus on helping everybody im,Negative,Positive,Negative
295_Cleand_Climate1.csv,Global Warming and climate control is fake. GLOBAL WARMING IS THE BIGGEST FRAUD IN HISTORY. https://t.co/6wuhsWQw7s #climatechange #ClimateChangeIsReal #HurricaneMichael #hurricanemichael2018,Negative,Negative,Positive
557_Cleand_Climate1.csv,RT @HazelMonforton: Literally none of these things will help anyone anywhere. The problem is industry. Not individual action. Stop shifting,not-relevant,Positive,Positive
1029_Cleand_Climate1.csv,RT @pimpnsincebirth: How about you end corporate greed? How about you heavily tax oil producing companies? Stop acting like consumers aren,Positive,Neutral,not-relevant
39_Cleand_Climate1.csv,@BjornLomborg I think looking at climate change in terms of expected global GDP is too narrow: it downplays risk and ignores distribution and other species. But it's hard to argue with the basic point that we need to pour investment into new technologies,Positive,Neutral,Positive
608_Cleand_Climate1.csv,RT @KateRaworth: If you feel the dissonance between the IPCC 1.5 degree report and the latest Nobel Prize in Economics I recommend this by,Negative,Positive,Positive
403_Cleand_Climate1.csv,RT @4everlung: Each year about 13 million hectares of forests are burned or logged around the world. Just by keeping them alive these f,not-relevant,Neutral,Positive
198_Cleand_Climate1.csv,@tracyajonas @David_Leavitt @realDonaldTrump it should try knowing what they re talking about or folks like @JunkScience who have a vested interest in denying climate change are going to tear folks to shreds.,Positive,Negative,Neutral
